ID,NUMERO,NOMBRE,DIRECCION,BARRIO,COMUNA,EMPLAZAMIENTO,ANCLAJES,QUEDA ABIERTA,Latitud,Longitud
214,142,ARMENIA Y GORRITI,1525 Armenia & Gorriti,PALERMO,COMUNA 14,CALZADA,16.0,0,-34.5907,-58.4289
143,143,BILLINGHURST Y VALENTIN GOMEZ,"455 Billinghurst & Gomez, Valentin",ALMAGRO,COMUNA 5,CALZADA,20.0,0,-34.6046,-58.4158
144,144,PUEYRREDON,684 Boulogne Sur Mer & Tucuman,BALVANERA,COMUNA 3,CALZADA,20.0,1,-34.6021,-58.4061
208,145,RAVIGNANI,"1900 Ravignani, Emilio, Dr. & Costa Rica",PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5803,-58.4378
146,146,HOSPITAL FRANCES,"3024 Calvo, Carlos & La Rioja",SAN CRISTOBAL,COMUNA 3,CALZADA,20.0,1,-34.6222,-58.4077
175,147,CONSTITUCION,"Garay, Juan De Av. 1150",CONSTITUCION,COMUNA 1,PLAZOLETA,48.0,1,-34.6261,-58.3793
330,148,PATERNAL,Punta Arenas 1798,PATERNAL,COMUNA 15,CALZADA,16.0,1,-34.6007,-58.4700
149,149,LIMA,Mexico & Lima,MONSERRAT,COMUNA 1,PLAZOLETA,16.0,1,-34.6153,-58.3816
150,150,RODRIGO BUENO,2200 España Av entre Rodrigo Bueno I & Rodrigo Bueno II,PUERTO MADERO,COMUNA 1,VEREDA,30.0,1,-34.6192,-58.3556
512,150,VERA PEÑALOZA,"Vera Peñaloza, Rosario & Cossettini, Olga",PUERTO MADERO,COMUNA 1,VEREDA,30.0,3,-34.6175,-58.3627
151,151,AIME PAINE,"Villaflor, Azucena & Paine, Aime",PUERTO MADERO,COMUNA 1,PLAZOLETA,24.0,1,-34.6120,-58.3615
152,152,JULIETA LANTERI,"Vera Peñaloza, Rosario & Lanteri Julieta",PUERTO MADERO,COMUNA 1,PLAZA ABIERTA,28.0,1,-34.6181,-58.3600
153,153,JUAN MANUEL BLANES,"383 Blanes, Juan Manuel",BOCA,COMUNA 4,CALZADA,16.0,1,-34.6307,-58.3621
154,154,GALLO,789 Gallo & Tucuman,ALMAGRO,COMUNA 5,CALZADA,20.0,0,-34.6005,-58.4123
155,155,PARQUE JOSE EVARISTO URIBURU,Avenida Almafuerte 6,NUEVA POMPEYA,COMUNA 4,PLAZA ABIERTA,20.0,1,-34.6381,-58.4112
156,156,PLAZA ALEMANIA,2939 Cavia & Del Libertador Av.,PALERMO,COMUNA 14,CALZADA,20.0,1,-34.5778,-58.4073
221,157,SENILLOSA Y ZUVIRIA,989 Senillosa & Zuviria,PARQUE CHACABUCO,COMUNA 7,CALZADA,20.0,0,-34.6283,-58.4280
158,158,VILLARROEL,1321 Villarroel & Humboldt,CHACARITA,COMUNA 15,CALZADA,20.0,1,-34.5925,-58.4452
