Id_recorrido,estacion_origen,estacion_destino,duracion_recorrido,latitud_origen,longitud_origen,latitud_destino,longitud_destino,distancia_de_viaje
17255699BAEcobici,290  -  CLUB EXCURSIONISTAS,251  -  SOLAR DE LA ABADIA,539,-34.5581,-58.4433,-34.5675,-58.437,1.1938637437015895
17332002BAEcobici,017  -  PLAZA ALMAGRO,009  -  PARQUE LAS HERAS,1212,-34.6064,-58.4185,-34.5855,-58.4077,2.5254900154830127
17178673BAEcobici,032  -  CATEDRAL,111  -  MACACHA GUEMES,423,-34.6072,-58.3735,-34.6048,-58.3639,0.9182459700755514
17343058BAEcobici,373  -  JORGELINA DE SIMONE,147  -  CONSTITUCION,15588,-34.624,-58.3906,-34.6261,-58.3793,1.0600009281410403
17291388BAEcobici,004  -  PLAZA ROMA,025  -  PLAZA GUEMES,2239,-34.6018,-58.3691,-34.5898,-58.4166,4.547973917558541
17158754BAEcobici,270  -  PLAZA DEL ANGEL GRIS,350  -  PLAZA IRLANDA,570,-34.6218,-58.4577,-34.6131,-58.4572,0.9684772810341669
17182623BAEcobici,136  -  ACEVEDO,325  -  MEDRANO,987,-34.5998,-58.4428,-34.6094,-58.4215,2.2225782136449355
17283210BAEcobici,397  -  PARQUE SANTOJANNI,330  -  PARQUE AVELLANEDA,2709,-34.6484,-58.5136,-34.6423,-58.4783,3.299662041469774
17327380BAEcobici,290  -  CLUB EXCURSIONISTAS,288  -  SECRETARIA DE DEPORTES,482,-34.5581,-58.4433,-34.5472,-58.4564,1.7053745456482872
17267481BAEcobici,325  -  MEDRANO,187  -  JOSE MARIA MORENO,647,-34.6094,-58.4215,-34.6202,-58.4356,1.7626987693457388
17114842BAEcobici,050  -  HOSPITAL RIVADAVIA,144  -  PUEYRREDON,537,-34.5836,-58.4012,-34.6021,-58.4061,2.1054366916801293
17308395BAEcobici,151  -  AIME PAINE,150  -  RODRIGO BUENO,286,-34.612,-58.3615,-34.6192,-58.3556,0.9656482393106658
17104284BAEcobici,100  -  PLAZA GURRUCHAGA,058  -  MINISTRO CARRANZA,887,-34.5931,-58.4351,-34.5749,-58.4353,2.023830486898529
17289274BAEcobici,103  -  MALBA,160  -  GODOY CRUZ Y LIBERTADOR,3048,-34.5771,-58.403,-34.5728,-58.4207,1.6896095738894807
17241831BAEcobici,292  -  PLAZA BOLIVIA,116  -  HOSPITAL ALEMAN,1582,-34.5635,-58.4367,-34.5921,-58.4028,4.443663397394778
17128685BAEcobici,113  -  GUATEMALA,014  -  PACIFICO,399,-34.5857,-58.4251,-34.5782,-58.4266,0.8451923219731562
17211038BAEcobici,150  -  RODRIGO BUENO,137  -  AZOPARDO Y CHILE,524,-34.6192,-58.3556,-34.6157,-58.3676,1.1650379021459008
17235700BAEcobici,250  -  FLENI,242  -  PLAZOLETA RAFAEL DEL RIEGO,781,-34.5556,-58.4505,-34.5674,-58.4464,1.3647574021970081
17155619BAEcobici,060  -  25 DE MAYO,083  -  PARANA,590,-34.6015,-58.3712,-34.6031,-58.3893,1.666147545743593
17285479BAEcobici,105  -  PARQUE SAAVEDRA,295  -  SUPERI,1181,-34.5521,-58.4805,-34.5554,-58.4767,0.5057201669302394
17341574BAEcobici,147  -  CONSTITUCION,128  -  PARQUE DEL BAJO,4744,-34.6261,-58.3793,-34.6052,-58.368,2.5436533817167954
17104044BAEcobici,146  -  HOSPITAL FRANCES,120  -  HOSPITAL RAMOS MEJIA,1434,-34.6222,-58.4077,-34.6175,-58.4092,0.5403406056099531
17196050BAEcobici,350  -  PLAZA IRLANDA,350  -  PLAZA IRLANDA,1920,-34.6131,-58.4572,-34.6131,-58.4572,0.0
17371729BAEcobici,002  -  RETIRO I,116  -  HOSPITAL ALEMAN,1528,-34.5927,-58.3751,-34.5921,-58.4028,2.5364514474535067
17170457BAEcobici,345  -  PLAZA MAFALDA,186  -  MANZANA 66,2636,-34.5809,-58.4446,-34.6135,-58.4061,5.05555689715091
17297853BAEcobici,084  -  TEATRO PICADERO,008  -  CONGRESO,308,-34.6042,-58.3937,-34.6101,-58.3891,0.7795118320125862
17332223BAEcobici,258  -  PLAZA J.J. PASO,345  -  PLAZA MAFALDA,623,-34.5691,-58.4538,-34.5809,-58.4446,1.559199688077164
17165215BAEcobici,083  -  PARANA,130  -  RETIRO II,1177,-34.6031,-58.3893,-34.5927,-58.375,1.7465743483039473
17169286BAEcobici,080  -  VALLE,199  -  ESTADOS UNIDOS Y BOEDO,657,-34.6244,-58.4342,-34.6224,-58.4158,1.6982753759408207
17141179BAEcobici,297  -  TRONADOR Y GARCIA DEL RIO,313  -  DE LOS INCAS,1266,-34.5546,-58.4854,-34.5816,-58.4747,3.158078178232333
17350187BAEcobici,350  -  PLAZA IRLANDA,285  -  ESPINOSA,404,-34.6131,-58.4572,-34.604,-58.4572,1.0118738324658176
17319628BAEcobici,394  -  AV. LA PLATA,120  -  HOSPITAL RAMOS MEJIA,1242,-34.64408,-58.42212,-34.6175,-58.4092,3.183194556008869
17284352BAEcobici,276  -  PRIMERA JUNTA,360  -  PLAZA RAMON FALCON,912,-34.6204,-58.4412,-34.6354,-58.4827,4.147335726430546
17278730BAEcobici,145  -  RAVIGNANI,145  -  RAVIGNANI,145,-34.5803,-58.4378,-34.5803,-58.4378,0.0
17110082BAEcobici,158  -  VILLARROEL,025  -  PLAZA GUEMES,1748,-34.5925,-58.4452,-34.5898,-58.4166,2.6351549431285375
17191716BAEcobici,223  -  GAINZA,266  -  PLAZA SABATTINI,317,-34.6168,-58.4467,-34.6124,-58.4433,0.5798126599052237
17241827BAEcobici,161  -  HUMAHUACA,340  -  PLAZA NUEVA POMPEYA,2711,-34.6021,-58.4195,-34.6517,-58.4146,5.533461674795203
