Id_recorrido,nombre_estacion_origen,hora_origen
17677163BAEcobici,100 - Plaza Gurruchaga,12
17695846BAEcobici,190 - JUNCAL,19
17475157BAEcobici,122 - COSTA RICA,1
17523363BAEcobici,153 - JUAN MANUEL DE BLANES,10
17679063BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,15
17496250BAEcobici,128 - PARQUE DEL BAJO,5
17420334BAEcobici,290 - Club Excursionistas,16
17553123BAEcobici,315 - BEIRO Y SAN MARTÍN,18
17507827BAEcobici,325 - MEDRANO,0
17481122BAEcobici,146 - Hospital Francés,15
17681702BAEcobici,156 - Plaza Alemania,18
17520317BAEcobici,243 - PLAZOLETA CELEDONIO FLORES,1
17679323BAEcobici,073 - Ruy Díaz de Guzmán,15
17656495BAEcobici,167 - Hipólito Yrigoyen,18
17422353BAEcobici,136 - Acevedo,21
17570901BAEcobici,354 - José Martí,13
17644044BAEcobici,137 - AZOPARDO Y CHILE,19
17647583BAEcobici,192 - HOSPITAL SIRIO,6
17518554BAEcobici,069 - Ecuador,21
17404992BAEcobici,066 - Billinghurst,11
17574087BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,17
17594444BAEcobici,164 - FACULTAD DE INGENIERIA,9
17445014BAEcobici,111 - MACACHA GUEMES,18
17514172BAEcobici,281 - Villa Urquiza,15
17445370BAEcobici,086 - SAAVEDRA,18
17460505BAEcobici,014 - Pacifico,21
17574617BAEcobici,360 - Plaza Ramon Falcon,18
17599101BAEcobici,008 - Congreso,16
17601341BAEcobici,275 - PLAZA 24 DE SEPTIEMBRE,18
17469345BAEcobici,243 - PLAZOLETA CELEDONIO FLORES,17
17464599BAEcobici,027 - Montevideo,9
17436315BAEcobici,161 - Humahuaca,5
17512661BAEcobici,186 - MANZANA 66,13
17597292BAEcobici,069 - Ecuador,14
17523552BAEcobici,137 - AZOPARDO Y CHILE,10
17389020BAEcobici,101 - Fitz Roy,0
17469868BAEcobici,258 - Plaza J.J. Paso,17
17422546BAEcobici,194 - PERÓN Y ACUÑA DE FIGUEROA,22
17512777BAEcobici,182 - RAVIGNANI Y GUATEMALA,13
17691478BAEcobici,038 - Plaza Libertad,14
17625740BAEcobici,083 - Paraná,17
17481972BAEcobici,118 - MEXICO,17
17631896BAEcobici,156 - Plaza Alemania,19
17609365BAEcobici,199 - ESTADOS UNIDOS Y BOEDO,12
17471597BAEcobici,344 - UNIVERSIDAD DI TELLA,19
17552157BAEcobici,166 - Cementerio de Recoleta,17
17499801BAEcobici,373 - Jorgelina De Simone,12
17538434BAEcobici,128 - PARQUE DEL BAJO,16
17494801BAEcobici,171 - Pasteur,21
17648958BAEcobici,215 - HOSPITAL ALVAREZ,8
17560866BAEcobici,120 - HOSPITAL RAMOS MEJIA,20
17437103BAEcobici,303 - Huaura,7
17425605BAEcobici,341 - COMUNA 4,9
17682967BAEcobici,359 - PLAZA BALCARCE,19
17694329BAEcobici,260 - SAN MIGUEL DE GARICOITS,17
17453851BAEcobici,041 - PARQUE PATRICIOS II,13
17538796BAEcobici,237 - Madero Office,17
17515757BAEcobici,205 - SAN MARTIN,17
17445902BAEcobici,381 - Matienzo Y Arce,19
17559069BAEcobici,017 - Plaza Almagro,15
17471742BAEcobici,204 - Biarritz,19
17428091BAEcobici,280 - JURAMENTO,13
17447458BAEcobici,174 - MINISTERIO DE EDUCACION,21
17405991BAEcobici,191 - Rivadavia y 9 de Julio,12
17564562BAEcobici,107 - HOSPITAL GARRAHAN,17
17627525BAEcobici,017 - Plaza Almagro,23
17429441BAEcobici,147 - Constitución,16
17474169BAEcobici,181 - BILLINGHURST Y MANSILLA,23
17510613BAEcobici,089 - Cabello,9
17464926BAEcobici,124 - UGARTECHE,9
17393321BAEcobici,391 - Plaza República de Ecuador,11
17589744BAEcobici,010 - Madero UCA,20
